version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,ntddatj,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815b,6cdb53d5d7b8,Baseline Gemini run,Measure behavior before prompt and tool declaration changes,,0.60,runs/v0_B_base_gemini_20260602T143922624263.json
v1,ntddatj,system_prompt.md,v1+pc35062d2377c+t6cdb53d5d7b8,c35062d2377c,6cdb53d5d7b8,Replace prompt that encouraged guessing and unsafe actions,If prompt requires clarify for missing info and no tools for out-of-scope requests then failures drop,0.60,0.95,runs/v1_B_base_gemini_20260602T145750394332.json
v2,ntddatj,"system_prompt.md; tools.yaml; data/eval_group.json",v2+p16836f399532+t1fbf4d1ad0ed,16836f399532,1fbf4d1ad0ed,Add 4 team local tools and prompt routing; write data/eval_group.json (10 cases: 5 single + 5 multi); run group suite on Gemini,If local-tool-only routing without chaining lookup/fetch then all G01-G10 pass,0.90,1.00,runs/v2_B_group_gemini_20260602T155229890587.json
v3,ntddatj,system_prompt.md,v3+pbe901e827c5a+t6cdb53d5d7b8,be901e827c5a,6cdb53d5d7b8,Prioritize yes_no confirmation before content and add Karpathy handle mapping,If confirmation precedence and the missing handle map are explicit then R12 and M03 pass,0.90,1.00,runs/v3_B_base_gemini_20260602T150620645041.json
